period,bucket,n,mean,median,win,pf
2015-19_박스,01_1d,22,-2.42,-7.26,13.64,0.58
2015-19_박스,02_2-3d,14,-0.02,-1.44,50.0,0.99
2015-19_박스,03_4-7d,21,3.97,-4.04,38.1,2.06
2015-19_박스,04_8-14d,27,0.15,-2.82,44.44,1.04
2015-19_박스,05_15-30d,16,-2.57,-5.33,31.25,0.46
2015-19_박스,06_31-60d,4,-9.48,-8.33,0.0,0.0
2020-24_중립,01_1d,32,6.77,-3.96,43.75,2.69
2020-24_중립,02_2-3d,18,10.81,-3.8,44.44,3.46
2020-24_중립,03_4-7d,34,6.02,3.16,52.94,2.75
2020-24_중립,04_8-14d,35,5.2,-4.56,34.29,2.2
2020-24_중립,05_15-30d,34,4.23,-2.44,41.18,1.94
2020-24_중립,06_31-60d,5,-1.4,-7.26,20.0,0.77
2020-24_중립,07_61+d,1,22.56,22.56,100.0,inf
2025+_강세,01_1d,11,27.76,4.65,72.73,13.91
2025+_강세,02_2-3d,9,0.67,-7.34,33.33,1.12
2025+_강세,03_4-7d,21,18.37,6.58,61.9,7.89
2025+_강세,04_8-14d,12,5.9,3.14,58.33,2.46
2025+_강세,05_15-30d,11,-1.0,-5.97,45.45,0.8
2025+_강세,06_31-60d,6,5.64,-5.98,33.33,1.98
